,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,持股数,每股成本,总成本,场内资金,落盘收益,收益,总涨幅,买进次数,卖出次数,总操作次数
0,20210108,'600745,闻泰科技,106.0,107.57,101.18,105.5,108.85,-2.85,-2.6183,15000.0,106.0,1590000.0,1590000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20210111,'600745,闻泰科技,112.04,112.5,106.9,106.95,106.0,6.04,5.6981,15000.0,106.0,1590000.0,1680600.0,0.0,90600.0,0.056981132075471695,0.0,0.0,0.0
2,20210112,'600745,闻泰科技,112.77,113.9,109.13,111.0,112.04,0.73,0.6516,14900.0,105.9605033557047,1578811.5,1680273.0,592.4496644295305,101461.5,0.06426447995850043,0.0,1.0,1.0
3,20210113,'600745,闻泰科技,115.38,119.87,112.83,113.5,112.77,2.61,2.3144,14900.0,105.9605033557047,1578811.5,1719162.0,592.4496644295305,140350.5,0.08889629952657427,0.0,1.0,1.0
4,20210114,'600745,闻泰科技,121.4,122.66,115.59,116.38,115.38,6.02,5.2175,14900.0,105.9605033557047,1578811.5,1808860.0,592.4496644295305,230048.5,0.1457099216720932,0.0,1.0,1.0
5,20210115,'600745,闻泰科技,114.79,122.88,113.0,122.8,121.4,-6.61,-5.4448,14800.0,105.87378378378378,1566932.0,1698892.0,1884.5712860511521,131960.0,0.08421552434949316,0.0,2.0,2.0
6,20210118,'600745,闻泰科技,125.6,126.27,112.72,113.72,114.79,10.81,9.4172,14900.0,105.96630872483222,1578898.0,1871440.0,1884.5712860511521,292542.0,0.18528239316282621,1.0,2.0,3.0
7,20210119,'600745,闻泰科技,127.15,133.9,125.6,126.0,125.6,1.55,1.2341,14800.0,105.8270608108108,1566240.5,1881820.0,3959.365204970072,315579.5,0.201488532572105,1.0,3.0,4.0
8,20210120,'600745,闻泰科技,128.7,130.32,123.6,126.8,127.15,1.55,1.219,14800.0,105.8270608108108,1566240.5,1904759.9999999998,3959.365204970072,338519.49999999977,0.2161350699333849,1.0,3.0,4.0
9,20210121,'600745,闻泰科技,127.7,129.5,124.5,128.3,128.7,-1.0,-0.777,14800.0,105.8270608108108,1566240.5,1889960.0,3959.365204970072,323719.5,0.20668569099062373,1.0,3.0,4.0
10,20210122,'600745,闻泰科技,126.5,131.37,121.95,127.0,127.7,-1.2,-0.9397,14800.0,105.8270608108108,1566240.5,1872200.0,3959.365204970072,305959.5,0.1953464362593101,1.0,3.0,4.0
11,20210125,'600745,闻泰科技,116.82,122.5,116.0,122.2,126.5,-9.68,-7.6522,14800.0,105.8270608108108,1566240.5,1728936.0,3959.365204970072,162695.5,0.1038764480933803,1.0,3.0,4.0
12,20210126,'600745,闻泰科技,116.82,120.35,115.37,117.4,116.82,0.0,0.0,14900.0,105.90278523489933,1577951.5,1740618.0,3959.365204970072,162666.5,0.1030871354411083,2.0,3.0,5.0
13,20210127,'600745,闻泰科技,116.86,118.42,113.91,115.8,116.82,0.04,0.0342,14900.0,105.90278523489933,1577951.5,1741214.0,3959.365204970072,163262.5,0.10346484033254508,2.0,3.0,5.0
14,20210128,'600745,闻泰科技,109.92,114.52,109.1,114.51,116.86,-6.94,-5.9387,14900.0,105.90278523489933,1577951.5,1637808.0,3959.365204970072,59856.5,0.0379330416682642,2.0,3.0,5.0
15,20210129,'600745,闻泰科技,105.38,111.8,101.25,110.0,109.92,-4.54,-4.1303,15000.0,105.9147,1588720.5,1580700.0,3959.365204970072,-8020.5,-0.005048402157585302,3.0,3.0,6.0
16,20210201,'600745,闻泰科技,99.0,101.83,96.0,96.0,105.38,-6.38,-6.0543,15000.0,105.9147,1588720.5,1485000.0,3959.365204970072,-103720.5,-0.0652855552628672,3.0,3.0,6.0
17,20210202,'600745,闻泰科技,96.6,98.98,94.75,98.95,99.0,-2.4,-2.4242,15100.0,105.86079470198675,1598498.0,1458660.0,3959.365204970072,-139838.0,-0.08748087266921822,4.0,3.0,7.0
18,20210203,'600745,闻泰科技,97.15,99.45,95.01,96.99,96.6,0.55,0.5694,15100.0,105.86079470198675,1598498.0,1466965.0,3959.365204970072,-131533.0,-0.08228537039145498,4.0,3.0,7.0
19,20210204,'600745,闻泰科技,102.37,104.63,93.0,95.6,97.15,5.22,5.3731,15100.0,105.86079470198675,1598498.0,1545787.0,3959.365204970072,-52711.0,-0.032975330591592855,4.0,3.0,7.0
20,20210205,'600745,闻泰科技,100.32,103.52,100.26,100.89,102.37,-2.05,-2.0025,15000.0,105.89583333333333,1588437.5,1504800.0,3430.2818716367383,-83637.5,-0.05265394452095219,4.0,4.0,8.0
21,20210208,'600745,闻泰科技,110.35,110.35,103.0,104.89,100.32,10.03,9.998,15000.0,105.89583333333333,1588437.5,1655250.0,3430.2818716367383,66812.5,0.04206177454259296,4.0,4.0,8.0
22,20210209,'600745,闻泰科技,110.9,112.9,108.0,109.8,110.35,0.55,0.4984,14900.0,105.86593959731543,1577402.5,1652410.0,3878.6879119051955,75007.5,0.047551274959942054,4.0,5.0,9.0
23,20210210,'600745,闻泰科技,114.09,114.78,109.0,110.91,110.9,3.19,2.8765,14900.0,105.86593959731543,1577402.5,1699941.0,3878.6879119051955,122538.5,0.0776837237166798,4.0,5.0,9.0
24,20210218,'600745,闻泰科技,114.31,119.5,113.78,115.88,114.09,0.22,0.1928,14900.0,105.86593959731543,1577402.5,1703219.0,3878.6879119051955,125816.5,0.07976182363093758,4.0,5.0,9.0
25,20210219,'600745,闻泰科技,112.77,114.96,108.38,114.32,114.31,-1.54,-1.3472,14900.0,105.86593959731543,1577402.5,1680273.0,3878.6879119051955,102870.5,0.06521512423113314,4.0,5.0,9.0
26,20210222,'600745,闻泰科技,112.6,115.2,109.62,112.07,112.77,-0.17,-0.1507,14900.0,105.86593959731543,1577402.5,1677740.0,3878.6879119051955,100337.5,0.06360931975193396,4.0,5.0,9.0
27,20210223,'600745,闻泰科技,108.6,112.38,107.25,110.5,112.6,-4.0,-3.5524,14900.0,105.86593959731543,1577402.5,1618140.0,3878.6879119051955,40737.5,0.025825684947247136,4.0,5.0,9.0
28,20210224,'600745,闻泰科技,107.58,112.58,106.1,107.72,108.6,-1.02,-0.9392,14900.0,105.86593959731543,1577402.5,1602942.0,3878.6879119051955,25539.5,0.016190858072051995,4.0,5.0,9.0
29,20210225,'600745,闻泰科技,103.24,109.02,103.0,107.59,107.58,-4.34,-4.0342,14900.0,105.86593959731543,1577402.5,1538276.0,3878.6879119051955,-39126.5,-0.0248043856910332,4.0,5.0,9.0
