,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,持股数,每股成本,场内资金,收益,总涨幅,场外资金,资金池,总收益,买进次数,卖出次数,总操作次数
0,20210108,'600745,闻泰科技,106.0,107.57,101.18,105.5,108.85,-2.85,-2.6183,1000.0,106.0,106000.0,0.0,0.0,0.0,106000.0,0.0,0.0,0.0,0.0
1,20210111,'600745,闻泰科技,112.04,112.5,106.9,106.95,106.0,6.04,5.6981,1000.0,106.0,112040.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2,20210112,'600745,闻泰科技,112.77,113.9,109.13,111.0,112.04,0.73,0.6516,900.0,0.0,101493.0,0.0,0.0,,,0.0,0.0,1.0,1.0
3,20210113,'600745,闻泰科技,115.38,119.87,112.83,113.5,112.77,2.61,2.3144,900.0,0.0,103842.0,0.0,0.0,,,0.0,0.0,1.0,1.0
4,20210114,'600745,闻泰科技,121.4,122.66,115.59,116.38,115.38,6.02,5.2175,900.0,0.0,109260.0,0.0,0.0,,,0.0,0.0,1.0,1.0
5,20210115,'600745,闻泰科技,114.79,122.88,113.0,122.8,121.4,-6.61,-5.4448,800.0,0.0,91832.0,0.0,0.0,,,0.0,0.0,2.0,2.0
6,20210118,'600745,闻泰科技,125.6,126.27,112.72,113.72,114.79,10.81,9.4172,900.0,0.0,113040.0,0.0,0.0,,,0.0,1.0,2.0,3.0
7,20210119,'600745,闻泰科技,127.15,133.9,125.6,126.0,125.6,1.55,1.2341,800.0,0.0,101720.0,0.0,0.0,,,0.0,1.0,3.0,4.0
8,20210120,'600745,闻泰科技,128.7,130.32,123.6,126.8,127.15,1.55,1.219,800.0,0.0,102959.99999999999,0.0,0.0,,,0.0,1.0,3.0,4.0
9,20210121,'600745,闻泰科技,127.7,129.5,124.5,128.3,128.7,-1.0,-0.777,800.0,0.0,102160.0,0.0,0.0,,,0.0,1.0,3.0,4.0
10,20210122,'600745,闻泰科技,126.5,131.37,121.95,127.0,127.7,-1.2,-0.9397,800.0,0.0,101200.0,0.0,0.0,,,0.0,1.0,3.0,4.0
11,20210125,'600745,闻泰科技,116.82,122.5,116.0,122.2,126.5,-9.68,-7.6522,800.0,0.0,93456.0,0.0,0.0,,,0.0,1.0,3.0,4.0
12,20210126,'600745,闻泰科技,116.82,120.35,115.37,117.4,116.82,0.0,0.0,900.0,0.0,105138.0,0.0,0.0,,,0.0,2.0,3.0,5.0
13,20210127,'600745,闻泰科技,116.86,118.42,113.91,115.8,116.82,0.04,0.0342,900.0,0.0,105174.0,0.0,0.0,,,0.0,2.0,3.0,5.0
14,20210128,'600745,闻泰科技,109.92,114.52,109.1,114.51,116.86,-6.94,-5.9387,900.0,0.0,98928.0,0.0,0.0,,,0.0,2.0,3.0,5.0
15,20210129,'600745,闻泰科技,105.38,111.8,101.25,110.0,109.92,-4.54,-4.1303,1000.0,0.0,105380.0,0.0,0.0,,,0.0,3.0,3.0,6.0
16,20210201,'600745,闻泰科技,99.0,101.83,96.0,96.0,105.38,-6.38,-6.0543,1000.0,0.0,99000.0,0.0,0.0,,,0.0,3.0,3.0,6.0
17,20210202,'600745,闻泰科技,96.6,98.98,94.75,98.95,99.0,-2.4,-2.4242,1100.0,0.0,106260.0,0.0,0.0,,,0.0,4.0,3.0,7.0
18,20210203,'600745,闻泰科技,97.15,99.45,95.01,96.99,96.6,0.55,0.5694,1100.0,0.0,106865.0,0.0,0.0,,,0.0,4.0,3.0,7.0
19,20210204,'600745,闻泰科技,102.37,104.63,93.0,95.6,97.15,5.22,5.3731,1100.0,0.0,112607.0,0.0,0.0,,,0.0,4.0,3.0,7.0
20,20210205,'600745,闻泰科技,100.32,103.52,100.26,100.89,102.37,-2.05,-2.0025,1000.0,0.0,100320.0,0.0,0.0,,,0.0,4.0,4.0,8.0
21,20210208,'600745,闻泰科技,110.35,110.35,103.0,104.89,100.32,10.03,9.998,1000.0,0.0,110350.0,0.0,0.0,,,0.0,4.0,4.0,8.0
22,20210209,'600745,闻泰科技,110.9,112.9,108.0,109.8,110.35,0.55,0.4984,900.0,0.0,99810.0,0.0,0.0,,,0.0,4.0,5.0,9.0
23,20210210,'600745,闻泰科技,114.09,114.78,109.0,110.91,110.9,3.19,2.8765,900.0,0.0,102681.0,0.0,0.0,,,0.0,4.0,5.0,9.0
24,20210218,'600745,闻泰科技,114.31,119.5,113.78,115.88,114.09,0.22,0.1928,900.0,0.0,102879.0,0.0,0.0,,,0.0,4.0,5.0,9.0
25,20210219,'600745,闻泰科技,112.77,114.96,108.38,114.32,114.31,-1.54,-1.3472,900.0,0.0,101493.0,0.0,0.0,,,0.0,4.0,5.0,9.0
26,20210222,'600745,闻泰科技,112.6,115.2,109.62,112.07,112.77,-0.17,-0.1507,900.0,0.0,101340.0,0.0,0.0,,,0.0,4.0,5.0,9.0
27,20210223,'600745,闻泰科技,108.6,112.38,107.25,110.5,112.6,-4.0,-3.5524,900.0,0.0,97740.0,0.0,0.0,,,0.0,4.0,5.0,9.0
28,20210224,'600745,闻泰科技,107.58,112.58,106.1,107.72,108.6,-1.02,-0.9392,900.0,0.0,96822.0,0.0,0.0,,,0.0,4.0,5.0,9.0
29,20210225,'600745,闻泰科技,103.24,109.02,103.0,107.59,107.58,-4.34,-4.0342,900.0,0.0,92916.0,0.0,0.0,,,0.0,4.0,5.0,9.0
